park code,Park,Month,Record high temp F,Average high temp F,Daily mean temp F,Average low temp F,Record Low Temp F,Average precipation IN,Average snowfall IN,Average precipation DAYS
WRST,Wrangell–St. Elias National Park,Nov,58,17.3,9.7,2,-46,1.45,13.5,10.1
WRST,Wrangell–St. Elias National Park,Dec,56,9.2,2.3,-4.5,-50,1.06,11.3,9.3
WRST,Wrangell–St. Elias National Park,Year,90,41.5,29.9,18.2,-55,17.7,66.5,118
ZION,Zion National Park,Jan,74,53.8,42.1,30.4,-15,1.99,0.7,7.1
ZION,Zion National Park,Feb,97,57.6,45.6,33.6,0,2.06,0.8,7.9
ZION,Zion National Park,Mar,91,66.1,52.4,38.7,10,2.01,0.7,7.4
ZION,Zion National Park,Apr,97,73.1,58.4,43.8,21,1.22,0,5.7
ZION,Zion National Park,May,106,83.5,68,52.5,22,0.77,0,4.5
ZION,Zion National Park,Jun,114,95.3,78.8,62.2,35,0.23,0,2
ZION,Zion National Park,Jul,115,100.3,84.9,69.5,41,1.15,0,4.8
ZION,Zion National Park,Aug,112,98,83.3,68.7,37,1.63,0,6
ZION,Zion National Park,Sep,110,90.7,76,61.3,33,1.17,0,4.4
ZION,Zion National Park,Oct,99,78.1,63.4,48.8,13,1.22,0,4.8
ZION,Zion National Park,Nov,90,63.9,50.6,37.3,0,1.18,0.1,4.4
ZION,Zion National Park,Dec,81,52.5,40.9,29.3,-5,1.64,1.7,6.5
ZION,Zion National Park,Year,115,76.1,62,48,-15,16.27,4,65.5
