,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
1899,CLBA,2015,Clara Barton NHS,"2,823",,"$161,700.00",,2,"$88,400.00","$138,800.00","$220,600.00"
1900,COLO,2015,Colonial NHP,"3,343,909",,"$191,476,400.00",,"3,173","$90,552,100.00","$148,928,700.00","$261,274,500.00"
1901,COLM,2015,Colorado NM,"588,006",,"$36,678,800.00",,556,"$14,464,000.00","$26,103,700.00","$45,379,900.00"
1902,CONG,2015,Congaree NP,"87,513",,"$4,370,200.00",,61,"$1,683,700.00","$2,963,600.00","$5,081,200.00"
1903,CORO,2015,Coronado NMEM,"132,584",,"$7,591,900.00",,117,"$3,052,300.00","$5,339,200.00","$9,140,400.00"
1904,COWP,2015,Cowpens NB,"206,741",,"$13,037,200.00",,209,"$6,364,200.00","$10,269,800.00","$17,680,400.00"
1905,CRLA,2015,Crater Lake NP,"614,712",,"$52,185,000.00",,887,"$25,122,600.00","$39,571,100.00","$71,212,400.00"
1906,CRMO,2015,Craters of the Moon NM & PRES,"246,825",,"$8,392,600.00",,133,"$3,073,900.00","$5,014,800.00","$9,527,400.00"
1907,CUGA,2015,Cumberland Gap NHP,"840,601",,"$52,723,000.00",,802,"$21,977,100.00","$38,114,500.00","$66,160,100.00"
1908,CUIS,2015,Cumberland Island NS,"59,860",,"$2,450,800.00",,37,"$1,070,300.00","$1,746,500.00","$2,998,900.00"
1909,CURE,2015,Curecanti NRA,"944,742",,"$40,022,500.00",,535,"$16,941,100.00","$27,934,100.00","$45,996,100.00"
1910,CUVA,2015,Cuyahoga Valley NP,"2,284,612",,"$144,710,300.00",,"2,415","$71,441,700.00","$114,672,200.00","$203,002,900.00"
1911,DAAV,2015,Dayton Aviation Heritage NHP,"73,589",,"$4,269,300.00",,79,"$2,418,400.00","$3,776,300.00","$6,671,300.00"
1912,DESO,2015,De Soto NMEM,"293,648",,"$16,814,700.00",,266,"$8,626,000.00","$14,061,500.00","$23,509,000.00"
1913,DEVA,2015,Death Valley NP,"1,154,843",,"$95,036,900.00",,"1,336","$47,073,200.00","$76,298,400.00","$124,098,200.00"
1914,DEWA,2015,Delaware Water Gap NRA,"3,735,134",,"$125,317,500.00",,"1,885","$76,221,700.00","$117,143,200.00","$184,231,000.00"
1915,DENA,2015,Denali NP & PRES,"560,757",,"$567,166,400.00",,"7,300","$269,162,200.00","$499,126,000.00","$810,349,000.00"
1916,DEPO,2015,Devils Postpile NM,"140,314",,"$8,775,100.00",,128,"$3,630,100.00","$6,121,000.00","$10,466,600.00"
1917,DETO,2015,Devils Tower NM,"478,833",,"$29,889,500.00",,477,"$11,923,500.00","$19,821,600.00","$37,409,000.00"
1918,DINO,2015,Dinosaur NM,"291,800",,"$17,079,100.00",,233,"$6,856,700.00","$11,320,700.00","$19,279,500.00"
1919,DRTO,2015,Dry Tortugas NP,"70,862",,"$4,235,900.00",,52,"$1,772,300.00","$2,893,300.00","$4,681,700.00"
1920,EDAL,2015,Edgar Allan Poe NHS,"13,863",,"$793,900.00",,10,"$466,200.00","$724,100.00","$1,174,600.00"
1921,EFMO,2015,Effigy Mounds NM,"81,901",,"$5,100,800.00",,86,"$1,991,200.00","$3,377,500.00","$6,196,500.00"
1922,EISE,2015,Eisenhower NHS,"54,377",,"$3,113,700.00",,46,"$1,689,200.00","$2,638,400.00","$4,217,600.00"
1923,ELMA,2015,El Malpais NM,"174,432",,"$9,988,200.00",,168,"$4,255,300.00","$6,997,200.00","$12,780,700.00"
1924,ELMO,2015,El Morro NM,"49,389",,"$3,040,000.00",,44,"$865,200.00","$1,627,200.00","$3,095,600.00"
1925,ELRO,2015,Eleanor Roosevelt NHS,"64,791",,"$3,710,000.00",,52,"$1,970,200.00","$3,188,800.00","$4,939,200.00"
1926,EUON,2015,Eugene O'Neill NHS,"3,943",,"$225,800.00",,3,"$130,700.00","$194,300.00","$311,800.00"
1927,EVER,2015,Everglades NP,"1,077,427",,"$103,392,600.00",,"1,521","$60,129,100.00","$95,467,100.00","$154,124,500.00"
1928,FEHA,2015,Federal Hall NMEM,"172,038",,"$9,851,200.00",,126,"$5,826,500.00","$9,016,700.00","$13,578,900.00"
1929,FIIS,2015,Fire Island NS,"441,899",,"$18,692,300.00",,218,"$10,119,900.00","$15,665,300.00","$23,499,700.00"
1930,FILA,2015,First Ladies NHS,"12,898",,"$738,500.00",,11,"$391,000.00","$608,200.00","$1,060,800.00"
1931,FLNI,2015,Flight 93 NMEM,"337,217",,"$19,309,400.00",,322,"$9,627,300.00","$15,095,400.00","$26,270,100.00"
1932,FLFO,2015,Florissant Fossil Beds NM,"69,131",,"$3,958,600.00",,61,"$2,168,200.00","$3,481,400.00","$5,740,000.00"
1933,FOTH,2015,Ford's Theatre NHS,"681,537",,"$12,656,600.00",,182,"$7,148,900.00","$11,291,200.00","$17,892,400.00"
1934,FOBO,2015,Fort Bowie NHS,"7,761",,"$444,400.00",,8,"$175,800.00","$307,400.00","$528,100.00"
1935,FOCA,2015,Fort Caroline NMEM,"224,418",,"$12,850,500.00",,208,"$6,206,500.00","$10,307,600.00","$17,659,500.00"
1936,FODA,2015,Fort Davis NHS,"55,955",,"$3,204,100.00",,49,"$1,033,500.00","$1,855,700.00","$3,390,500.00"
1937,FODO,2015,Fort Donelson NB,"260,744",,"$16,448,700.00",,243,"$7,669,900.00","$12,662,000.00","$21,213,400.00"
1938,FOFR,2015,Fort Frederica NM,"202,191",,"$11,577,700.00",,186,"$5,348,300.00","$8,793,000.00","$15,166,400.00"
1939,FOLA,2015,Fort Laramie NHS,"51,616",,"$2,955,600.00",,45,"$1,153,000.00","$1,981,500.00","$3,463,700.00"
1940,FOLS,2015,Fort Larned NHS,"32,170",,"$1,909,600.00",,27,"$627,800.00","$1,122,400.00","$2,105,200.00"
1941,FOMA,2015,Fort Matanzas NM,"622,176",,"$35,626,600.00",,579,"$16,649,300.00","$28,182,600.00","$48,234,400.00"
1942,FOMC,2015,Fort McHenry NM & HS,"617,890",,"$35,381,200.00",,506,"$19,160,800.00","$30,552,200.00","$48,430,800.00"
1943,FONE,2015,Fort Necessity NB,"280,704",,"$17,700,100.00",,282,"$8,936,700.00","$14,188,600.00","$24,557,900.00"
1944,FOPO,2015,Fort Point NHS,"1,610,467",,"$92,217,400.00",,"1,292","$53,322,700.00","$79,330,400.00","$127,321,200.00"
1945,FOPU,2015,Fort Pulaski NM,"382,945",,"$24,153,500.00",,351,"$10,282,700.00","$17,400,500.00","$29,383,200.00"
1946,FORA,2015,Fort Raleigh NHS,"289,885",,"$16,599,100.00",,269,"$7,271,400.00","$11,872,100.00","$21,010,500.00"
1947,FOSC,2015,Fort Scott NHS,"25,530",,"$444,600.00",,6,"$142,100.00","$229,800.00","$431,600.00"
1948,FOSM,2015,Fort Smith NHS,"111,469",,"$6,382,800.00",,106,"$2,610,500.00","$4,339,800.00","$7,929,000.00"
1949,FOST,2015,Fort Stanwix NM,"86,678",,"$4,671,000.00",,63,"$1,795,100.00","$3,550,200.00","$5,712,200.00"
1950,FOSU,2015,Fort Sumter and Fort Moultrie NHP,"840,712",,"$48,140,300.00",,734,"$21,285,900.00","$36,205,300.00","$60,506,000.00"
1951,FOUN,2015,Fort Union NM,"11,726",,"$774,500.00",,11,"$328,400.00","$502,900.00","$871,700.00"
1952,FOUS,2015,Fort Union Trading Post NHS,"13,605",,"$1,063,000.00",,12,"$378,500.00","$560,600.00","$969,200.00"
1953,FOVA,2015,Fort Vancouver NHS,"818,672",,"$46,878,200.00",,792,"$25,282,500.00","$38,885,400.00","$67,549,500.00"
1954,FOWA,2015,Fort Washington Park,"337,432",,"$19,321,800.00",,269,"$10,552,600.00","$16,518,300.00","$26,088,100.00"
1955,FOBU,2015,Fossil Butte NM,"19,293",,"$940,800.00",,12,"$358,500.00","$578,100.00","$1,008,300.00"
1956,FRDE,2015,Franklin Delano Roosevelt MEM,"3,290,080",,"$61,099,000.00",,878,"$34,511,000.00","$54,507,500.00","$86,374,400.00"
1957,FRDO,2015,Frederick Douglass NHS,"53,874",,"$1,000,500.00",,13,"$565,100.00","$892,200.00","$1,412,000.00"
1958,FRLA,2015,Frederick Law Olmsted NHS,"9,472",,"$542,400.00",,8,"$304,200.00","$479,400.00","$768,000.00"
1959,FRSP,2015,Fredericksburg & Spotsylvania NMP,"891,917",,"$51,072,200.00",,714,"$27,212,200.00","$42,498,300.00","$67,598,700.00"
1960,FRHI,2015,Friendship Hill NHS,"34,687",,"$1,986,200.00",,32,"$1,015,000.00","$1,592,900.00","$2,765,400.00"
1961,GAAR,2015,Gates Of The Arctic NP & PRES,"10,745",,"$16,576,900.00",,217,"$7,877,400.00","$14,464,700.00","$23,600,400.00"
1962,GATE,2015,Gateway NRA,"6,392,565",,"$155,321,400.00",,"1,840","$78,110,500.00","$118,385,200.00","$181,847,000.00"
1963,GARI,2015,Gauley River NRA,"105,374",,"$4,459,200.00",,66,"$1,782,100.00","$2,808,100.00","$4,933,200.00"
1964,GEGR,2015,General Grant NMEM,"95,526",,"$5,470,000.00",,71,"$3,224,500.00","$5,007,500.00","$7,552,700.00"
1965,GERO,2015,George Rogers Clark NHP,"135,855",,"$7,779,200.00",,131,"$3,034,800.00","$5,147,900.00","$9,498,600.00"
1966,GWMP,2015,George Washington MEM PKWY,"7,286,463",,"$46,413,800.00",,847,"$27,358,700.00","$40,478,100.00","$66,515,200.00"
1967,GEWA,2015,George Washington Birthplace NM,"130,953",,"$5,844,600.00",,79,"$3,033,200.00","$4,739,400.00","$7,478,200.00"
1968,GWCA,2015,George Washington Carver NM,"37,745",,"$678,600.00",,10,"$270,900.00","$428,300.00","$768,600.00"
1969,GETT,2015,Gettysburg NMP,"1,080,185",,"$67,987,900.00",,931,"$35,914,300.00","$56,941,500.00","$90,882,900.00"
1970,GICL,2015,Gila Cliff Dwellings NM,"36,518",,"$2,091,100.00",,32,"$644,700.00","$1,142,900.00","$2,122,000.00"
1971,GLAC,2015,Glacier NP,"2,366,057",,"$198,966,000.00",,"3,474","$93,528,800.00","$143,420,800.00","$268,619,600.00"
1972,GLBA,2015,Glacier Bay NP & PRES,"551,353",,"$112,754,200.00",,"2,060","$61,472,600.00","$94,882,200.00","$161,779,700.00"
1973,GLCA,2015,Glen Canyon NRA,"2,495,092",,"$167,040,700.00",,"2,375","$62,472,900.00","$110,522,400.00","$190,728,500.00"
1974,GOGA,2015,Golden Gate NRA,"14,888,537",,"$365,228,900.00",,"4,516","$178,996,800.00","$263,628,600.00","$423,724,400.00"
1975,GREE,2015,Greenbelt Park,"59,147",,"$3,313,500.00",,55,"$1,623,800.00","$2,553,200.00","$4,570,300.00"
1976,GOIS,2015,Governors Island NM,"438,613",,"$25,115,500.00",,323,"$14,854,600.00","$22,988,000.00","$34,619,200.00"
1977,GRCA,2015,Grand Canyon NP,"5,520,736",,"$584,890,900.00",,"8,897","$301,914,600.00","$502,940,400.00","$813,705,800.00"
1978,GRPO,2015,Grand Portage NM,"91,751",,"$5,787,000.00",,83,"$1,681,100.00","$3,082,900.00","$5,706,800.00"
1979,GRTE,2015,Grand Teton NP,"3,149,920",,"$560,394,400.00",,"8,862","$258,250,200.00","$412,894,300.00","$728,987,800.00"
1980,GRKO,2015,Grant-Kohrs Ranch NHS,"22,139",,"$1,267,700.00",,22,"$611,300.00","$898,200.00","$1,685,900.00"
1981,GRBA,2015,Great Basin NP,"116,124",,"$6,461,200.00",,94,"$2,098,100.00","$3,741,400.00","$6,786,000.00"
1982,GRSA,2015,Great Sand Dunes NP & PRES,"299,513",,"$17,752,700.00",,263,"$6,878,300.00","$12,308,200.00","$21,546,400.00"
1983,GRSM,2015,Great Smoky Mountains NP,"10,712,673",,"$873,886,500.00",,"13,709","$396,249,700.00","$692,101,000.00","$1,181,331,900.00"
1984,GREE,2015,Greenbelt Park,"135,260",,"$8,238,900.00",,111,"$4,350,400.00","$6,930,600.00","$10,954,600.00"
1985,GUMO,2015,Guadalupe Mountains NP,"169,535",,"$10,305,200.00",,157,"$3,880,800.00","$6,781,000.00","$12,360,100.00"
1986,GUCO,2015,Guilford Courthouse NMP,"222,602",,"$12,746,500.00",,218,"$6,308,600.00","$9,744,400.00","$17,190,800.00"
1987,GUIS,2015,Gulf Islands NS,"3,976,884",,"$168,768,000.00",,"2,467","$73,484,100.00","$119,104,300.00","$204,807,800.00"
1988,HAFO,2015,Hagerman Fossil Beds NM,"24,695",,"$1,414,100.00",,23,"$674,800.00","$1,047,100.00","$1,883,600.00"
1989,HALE,2015,Haleakala NP,"1,216,772",,"$76,462,500.00",,905,"$35,009,500.00","$59,315,900.00","$91,758,700.00"
1990,HAGR,2015,Hamilton Grange NMEM,"35,446",,"$2,029,800.00",,26,"$1,194,700.00","$1,854,600.00","$2,791,500.00"
1991,HAMP,2015,Hampton NHS,"34,685",,"$1,986,100.00",,28,"$1,093,900.00","$1,728,100.00","$2,750,100.00"
1992,HAFE,2015,Harpers Ferry NHP,"282,893",,"$13,673,500.00",,212,"$7,980,400.00","$12,452,100.00","$19,876,000.00"
1993,HSTR,2015,Harry S Truman NHS,"32,825",,"$1,879,600.00",,32,"$997,900.00","$1,584,000.00","$2,780,700.00"
1994,HAVO,2015,Hawaii Volcanoes NP,"1,832,660",,"$151,246,200.00",,"1,834","$70,723,600.00","$122,863,000.00","$189,391,100.00"
1995,HEHO,2015,Herbert Hoover NHS,"127,155",,"$7,281,100.00",,122,"$3,016,900.00","$5,248,300.00","$9,295,000.00"
1996,HOFR,2015,Home of Franklin D. Roosevelt NHS,"180,405",,"$10,330,200.00",,142,"$5,538,000.00","$8,907,900.00","$13,809,400.00"
1997,HOME,2015,Homestead NHP,"78,739",,"$2,535,300.00",,40,"$891,600.00","$1,491,200.00","$2,759,900.00"
1998,HOCU,2015,Hopewell Culture NHP,"43,587",,"$2,495,900.00",,44,"$1,294,500.00","$2,004,500.00","$3,541,000.00"
1999,HOFU,2015,Hopewell Furnace NHS,"51,252",,"$2,934,700.00",,48,"$1,662,500.00","$2,600,100.00","$4,294,200.00"
2000,HOBE,2015,Horseshoe Bend NMP,"89,283",,"$5,112,500.00",,86,"$2,337,900.00","$3,755,500.00","$6,803,400.00"
2001,HOSP,2015,Hot Springs NP,"1,418,163",,"$88,953,700.00",,"1,433","$37,014,600.00","$62,800,400.00","$113,410,800.00"
2002,HOVE,2015,Hovenweep NM,"35,116",,"$2,164,900.00",,31,"$830,900.00","$1,458,700.00","$2,508,900.00"
2003,HUTR,2015,Hubbell Trading Post NHS,"66,324",,"$3,797,800.00",,59,"$1,365,100.00","$2,357,500.00","$4,283,400.00"
2004,INDE,2015,Independence NHP,"4,311,583",,"$246,886,700.00",,"3,853","$144,980,400.00","$225,187,100.00","$365,285,200.00"
2005,INDU,2015,Indiana Dunes NP,"1,640,195",,"$69,879,400.00",,976,"$37,303,100.00","$58,793,100.00","$95,166,000.00"
2006,ISRO,2015,Isle Royale NP,"18,684",,"$4,084,500.00",,66,"$1,449,600.00","$2,556,500.00","$4,733,600.00"
2007,JAGA,2015,James A. Garfield NHS,"24,507",,"$859,100.00",,15,"$447,300.00","$701,200.00","$1,250,300.00"
2008,JELA,2015,Jean Lafitte NHP & PRES,"405,618",,"$23,226,300.00",,361,"$10,960,200.00","$17,613,100.00","$30,274,100.00"
2009,,2015,"Jefferson National Expansion
Memorial","1,698,656",,"$165,967,800.00",,"3,026","$92,108,600.00","$145,435,400.00","$258,440,400.00"
2010,JECA,2015,Jewel Cave NM,"116,445",,"$6,667,800.00",,113,"$2,716,800.00","$4,428,200.00","$8,478,400.00"
2011,JICA,2015,Jimmy Carter NHP,"67,798",,"$3,882,100.00",,66,"$1,485,200.00","$2,530,000.00","$4,724,500.00"
2012,JODR,2015,"John D. Rockefeller, Jr. MEM PKWY","1,430,337",,"$49,351,300.00",,830,"$26,932,700.00","$43,908,900.00","$78,294,200.00"
2013,JODA,2015,John Day Fossil Beds NM,"196,276",,"$9,146,900.00",,141,"$3,831,100.00","$5,974,800.00","$10,759,100.00"
2014,JOFI,2015,John F. Kennedy NHS,"18,485",,"$1,058,400.00",,15,"$593,400.00","$935,400.00","$1,498,900.00"
2015,JOMU,2015,John Muir NHS,"42,615",,"$2,440,200.00",,34,"$1,410,900.00","$2,100,000.00","$3,371,600.00"
2016,JOFL,2015,Johnstown Flood NMEM,"163,431",,"$9,885,400.00",,176,"$5,148,100.00","$8,040,200.00","$14,066,000.00"
2017,JOTR,2015,Joshua Tree NP,"2,025,755",,"$96,741,300.00",,"1,341","$49,858,500.00","$78,826,500.00","$128,226,700.00"
2018,KALA,2015,Kalaupapa NHP,"67,891",,"$3,887,500.00",,50,"$1,838,900.00","$3,045,700.00","$4,748,200.00"
2019,KAHO,2015,Kaloko Honokohau NHP,"170,683",,"$9,773,600.00",,123,"$4,623,100.00","$7,657,200.00","$11,937,400.00"
2020,KATM,2015,Katmai NP & PRES,"37,818",,"$58,343,100.00",,765,"$27,725,000.00","$50,909,200.00","$83,062,700.00"
2021,KEFJ,2015,Kenai Fjords NP,"296,697",,"$59,320,600.00",,"1,092","$32,447,500.00","$49,840,000.00","$85,107,800.00"
2022,KEMO,2015,Kennesaw Mountain NBP,"2,174,870",,"$124,535,800.00",,"2,089","$70,678,400.00","$109,394,800.00","$186,916,500.00"
2023,KICA,2015,Kings Canyon NP,"468,105",,"$40,667,500.00",,616,"$17,535,300.00","$29,703,900.00","$51,267,000.00"
2024,KIMO,2015,Kings Mountain NMP,"257,078",,"$10,070,600.00",,162,"$4,910,900.00","$7,787,200.00","$13,413,000.00"
2025,KLGO,2015,Klondike Gold Rush NHP Alaska,"919,661",,"$184,107,100.00",,"3,390","$100,685,200.00","$154,696,900.00","$264,141,300.00"
2026,KLSE,2015,Klondike Gold Rush NHP Seattle,"60,372",,"$3,456,900.00",,48,"$1,657,200.00","$2,864,200.00","$4,636,400.00"
2027,KNRI,2015,Knife River Indian Villages NHS,"11,377",,"$651,500.00",,10,"$285,000.00","$455,700.00","$826,900.00"
2028,KOVA,2015,Kobuk Valley NP,,,,,,,,
2029,KOWA,2015,Korean War Veterans Memorial,"4,077,835",,"$75,728,100.00",,"1,088","$42,774,000.00","$67,558,400.00","$107,055,300.00"
2030,LACH,2015,Lake Chelan NRA,"32,185",,"$2,055,700.00",,27,"$992,200.00","$1,699,600.00","$2,708,300.00"
2031,LACL,2015,Lake Clark NP & PRES,"17,818",,"$27,488,600.00",,361,"$13,062,700.00","$23,986,100.00","$39,135,300.00"
2032,LAKE,2015,Lake Mead NRA,"7,298,466",,"$311,206,400.00",,"4,178","$140,587,400.00","$224,911,400.00","$365,354,200.00"
2033,LAMR,2015,Lake Meredith NRA,"831,374",,"$35,314,500.00",,521,"$12,984,300.00","$22,601,400.00","$40,692,700.00"
2034,LARO,2015,Lake Roosevelt NRA,"1,170,842",,"$49,983,100.00",,697,"$19,334,600.00","$34,938,100.00","$59,124,800.00"
2035,LAVO,2015,Lassen Volcanic NP,"468,092",,"$27,361,500.00",,403,"$10,117,400.00","$17,837,900.00","$31,159,400.00"
2036,LABE,2015,Lava Beds NM,"108,687",,"$4,510,000.00",,62,"$1,642,400.00","$2,730,600.00","$4,870,500.00"
2037,LEWI,2015,Lewis & Clark NHP,"270,411",,"$15,484,100.00",,246,"$8,113,800.00","$12,685,500.00","$21,555,900.00"
2038,LINC,2015,Lincoln Memorial,"7,941,771",,"$147,484,000.00",,"2,120","$83,304,400.00","$131,573,100.00","$208,495,200.00"
2039,LIBO,2015,Lincoln Boyhood NMEM,"111,711",,"$5,218,300.00",,90,"$2,473,600.00","$3,991,600.00","$7,155,300.00"
2040,LIHO,2015,Lincoln Home NHS,"233,298",,"$13,869,400.00",,224,"$5,478,000.00","$10,110,500.00","$17,548,500.00"
2041,LIBI,2015,Little Bighorn Battlefield NM,"317,783",,"$18,196,700.00",,310,"$8,096,700.00","$12,560,800.00","$23,594,200.00"
2042,LIRI,2015,Little River Canyon NPRES,"248,136",,"$14,208,600.00",,237,"$6,308,700.00","$10,475,600.00","$18,609,200.00"
2043,CHSC,2015,Little Rock Central High School NHS,"125,955",,"$7,212,300.00",,125,"$3,160,700.00","$5,249,500.00","$9,497,600.00"
2044,LONG,2015,Longfellow House Washington's HQ NHS,"50,784",,"$2,908,000.00",,44,"$1,632,800.00","$2,573,200.00","$4,112,300.00"
2045,LOWE,2015,Lowell NHP,"531,055",,"$30,408,900.00",,453,"$17,022,400.00","$26,847,600.00","$42,983,200.00"
2046,LYJO,2015,Lyndon B. Johnson NHP,"124,980",,"$7,156,500.00",,114,"$3,608,400.00","$5,899,400.00","$10,090,000.00"
2047,LYBA,2015,LBJ Memorial Grove on the Potomac,"232,883",,"$13,335,200.00",,188,"$7,281,800.00","$11,429,200.00","$18,143,500.00"
2048,MAWA,2015,Maggie L. Walker NHS,"7,589",,"$434,500.00",,8,"$203,100.00","$336,700.00","$587,000.00"
2049,MACA,2015,Mammoth Cave NP,"566,895",,"$48,102,800.00",,749,"$23,429,100.00","$38,796,000.00","$66,026,300.00"
2050,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2051,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2052,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2053,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2054,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2055,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2056,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2057,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2058,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2059,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2060,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2061,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2062,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2063,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2064,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2065,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2066,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2067,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2068,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2069,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2070,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2071,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2072,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2073,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2074,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2075,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2076,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2077,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2078,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2079,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2080,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2081,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2082,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2083,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2084,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2085,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2086,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2087,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2088,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2089,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2090,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2091,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2092,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2093,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2094,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2095,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2096,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2097,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
